Time,RSSI
2026-4-15 15:42:01.664,-70.699996948242188
2026-4-15 15:42:01.672,-70.699996948242188
2026-4-15 15:42:01.683,-70.599998474121094
2026-4-15 15:42:01.693,-70.599998474121094
2026-4-15 15:42:01.702,-70.599998474121094
2026-4-15 15:42:01.713,-70.599998474121094
2026-4-15 15:42:01.725,-70.599998474121094
2026-4-15 15:42:01.735,-70.699996948242188
2026-4-15 15:42:01.743,-70.699996948242188
2026-4-15 15:42:01.754,-70.800003051757812
2026-4-15 15:42:01.765,-70.699996948242188
2026-4-15 15:42:01.774,-70.599998474121094
2026-4-15 15:42:01.784,-70.699996948242188
2026-4-15 15:42:01.796,-70.599998474121094
2026-4-15 15:42:01.806,-70.5
2026-4-15 15:42:01.816,-70.5
2026-4-15 15:42:01.825,-70.599998474121094
2026-4-15 15:42:01.835,-70.599998474121094
2026-4-15 15:42:01.846,-70.5
2026-4-15 15:42:01.857,-70.599998474121094
2026-4-15 15:42:01.868,-70.599998474121094
2026-4-15 15:42:01.886,-70.5
2026-4-15 15:42:01.887,-70.599998474121094
2026-4-15 15:42:01.899,-70.5
2026-4-15 15:42:01.906,-70.5
2026-4-15 15:42:01.917,-70.5
2026-4-15 15:42:01.928,-70.599998474121094
2026-4-15 15:42:01.938,-70.699996948242188
2026-4-15 15:42:01.949,-70.699996948242188
2026-4-15 15:42:01.962,-70.599998474121094
2026-4-15 15:42:01.969,-70.699996948242188
2026-4-15 15:42:01.978,-70.5
2026-4-15 15:42:01.988,-70.599998474121094
2026-4-15 15:42:01.997,-70.5
2026-4-15 15:42:02.009,-70.5
2026-4-15 15:42:02.018,-70.5
2026-4-15 15:42:02.051,-70.5
2026-4-15 15:42:02.054,-70.5
2026-4-15 15:42:02.057,-70.5
2026-4-15 15:42:02.058,-70.5
2026-4-15 15:42:02.069,-70.5
2026-4-15 15:42:02.127,-70.400001525878906
2026-4-15 15:42:02.128,-70.400001525878906
2026-4-15 15:42:02.132,-70.400001525878906
2026-4-15 15:42:02.134,-70.400001525878906
2026-4-15 15:42:02.137,-70.5
2026-4-15 15:42:02.139,-70.400001525878906
2026-4-15 15:42:02.143,-70.400001525878906
2026-4-15 15:42:02.215,-70.400001525878906
2026-4-15 15:42:02.217,-70.400001525878906
2026-4-15 15:42:02.221,-70.400001525878906
2026-4-15 15:42:02.222,-70.5
2026-4-15 15:42:02.225,-70.400001525878906
2026-4-15 15:42:02.226,-70.300003051757812
2026-4-15 15:42:02.230,-70.400001525878906
2026-4-15 15:42:02.232,-70.400001525878906
2026-4-15 15:42:02.235,-70.300003051757812
2026-4-15 15:42:02.276,-70.400001525878906
2026-4-15 15:42:02.279,-70.300003051757812
2026-4-15 15:42:02.281,-70.300003051757812
2026-4-15 15:42:02.283,-70.300003051757812
2026-4-15 15:42:02.286,-70.300003051757812
2026-4-15 15:42:02.346,-70.300003051757812
2026-4-15 15:42:02.348,-70.199996948242188
2026-4-15 15:42:02.351,-70.199996948242188
2026-4-15 15:42:02.352,-70.199996948242188
2026-4-15 15:42:02.354,-70.199996948242188
2026-4-15 15:42:02.357,-70.199996948242188
2026-4-15 15:42:02.359,-70.199996948242188
2026-4-15 15:42:02.367,-70.199996948242188
2026-4-15 15:42:02.376,-70.099998474121094
2026-4-15 15:42:02.386,-70.199996948242188
2026-4-15 15:42:02.399,-70.199996948242188
2026-4-15 15:42:02.414,-70.199996948242188
2026-4-15 15:42:02.416,-70.099998474121094
2026-4-15 15:42:02.424,-70.199996948242188
